y: 1, x: 3, Value: 1
y: 1, x: 4, Value: 2
y: 1, x: 6, Value: 4
y: 1, x: 7, Value: 8
y: 1, x: 8, Value: 9
y: 1, x: 8, Value: 0
y: 1, x: 7, Value: 0
y: 1, x: 7, Value: 9
y: 1, x: 7, Value: 0
y: 1, x: 6, Value: 0
y: 1, x: 6, Value: 6
y: 1, x: 7, Value: 4
y: 1, x: 8, Value: 9
y: 1, x: 9, Value: 8
y: 2, x: 2, Value: 2
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 4
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 2
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 7
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 2
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 1, x: 9, Value: 0
y: 1, x: 8, Value: 0
y: 1, x: 7, Value: 0
y: 1, x: 7, Value: 8
y: 1, x: 8, Value: 4
y: 1, x: 8, Value: 0
y: 1, x: 8, Value: 9
y: 1, x: 9, Value: 4
y: 2, x: 2, Value: 2
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 4
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 2
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 7
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 2
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 1, x: 9, Value: 0
y: 1, x: 8, Value: 0
y: 1, x: 7, Value: 0
y: 1, x: 7, Value: 9
y: 1, x: 8, Value: 4
y: 1, x: 9, Value: 8
y: 2, x: 2, Value: 2
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 4
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 2
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 7
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 2
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 1, x: 9, Value: 0
y: 1, x: 8, Value: 0
y: 1, x: 7, Value: 0
y: 1, x: 6, Value: 0
y: 1, x: 6, Value: 8
y: 1, x: 7, Value: 4
y: 1, x: 8, Value: 9
y: 1, x: 8, Value: 0
y: 1, x: 7, Value: 0
y: 1, x: 7, Value: 9
y: 1, x: 8, Value: 4
y: 1, x: 8, Value: 0
y: 1, x: 7, Value: 0
y: 1, x: 6, Value: 0
y: 1, x: 4, Value: 0
y: 1, x: 4, Value: 6
y: 1, x: 6, Value: 2
y: 1, x: 7, Value: 4
y: 1, x: 8, Value: 9
y: 1, x: 9, Value: 8
y: 2, x: 2, Value: 2
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 4
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 2
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 7
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 2
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 1, x: 9, Value: 0
y: 1, x: 8, Value: 0
y: 1, x: 7, Value: 0
y: 1, x: 7, Value: 8
y: 1, x: 8, Value: 4
y: 1, x: 8, Value: 0
y: 1, x: 8, Value: 9
y: 1, x: 9, Value: 4
y: 2, x: 2, Value: 2
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 4
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 2
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 7
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 2
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 1, x: 9, Value: 0
y: 1, x: 8, Value: 0
y: 1, x: 7, Value: 0
y: 1, x: 7, Value: 9
y: 1, x: 8, Value: 4
y: 1, x: 9, Value: 8
y: 2, x: 2, Value: 2
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 4
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 2
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 7
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 2
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 1, x: 9, Value: 0
y: 1, x: 8, Value: 0
y: 1, x: 7, Value: 0
y: 1, x: 6, Value: 0
y: 1, x: 6, Value: 4
y: 1, x: 7, Value: 8
y: 1, x: 8, Value: 2
y: 1, x: 8, Value: 0
y: 1, x: 8, Value: 9
y: 1, x: 9, Value: 2
y: 2, x: 2, Value: 2
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 4
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 4
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 4
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 7
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 4
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 4
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 1, x: 9, Value: 0
y: 1, x: 8, Value: 0
y: 1, x: 7, Value: 0
y: 1, x: 7, Value: 9
y: 1, x: 8, Value: 2
y: 1, x: 9, Value: 8
y: 2, x: 2, Value: 2
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 4
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 4
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 4
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 7
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 8, Value: 4
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 4
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 1, x: 9, Value: 0
y: 1, x: 8, Value: 0
y: 1, x: 7, Value: 0
y: 1, x: 6, Value: 0
y: 1, x: 6, Value: 8
y: 1, x: 7, Value: 4
y: 1, x: 8, Value: 2
y: 1, x: 8, Value: 0
y: 1, x: 8, Value: 9
y: 1, x: 9, Value: 2
y: 2, x: 2, Value: 2
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 9, Value: 8
y: 2, x: 9, Value: 0
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 8
y: 2, x: 8, Value: 3
y: 2, x: 9, Value: 7
y: 2, x: 9, Value: 0
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 8
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 4
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 9, Value: 8
y: 2, x: 9, Value: 0
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 8
y: 2, x: 8, Value: 3
y: 2, x: 9, Value: 7
y: 2, x: 9, Value: 0
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 8
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 7
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 8
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 8
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 1, x: 9, Value: 0
y: 1, x: 8, Value: 0
y: 1, x: 7, Value: 0
y: 1, x: 7, Value: 9
y: 1, x: 8, Value: 2
y: 1, x: 9, Value: 4
y: 2, x: 2, Value: 2
y: 2, x: 3, Value: 4
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 9, Value: 8
y: 2, x: 9, Value: 0
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 8
y: 2, x: 8, Value: 3
y: 2, x: 9, Value: 7
y: 2, x: 9, Value: 0
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 8
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 4
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 7
y: 2, x: 8, Value: 3
y: 2, x: 9, Value: 8
y: 2, x: 9, Value: 0
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 8
y: 2, x: 8, Value: 3
y: 2, x: 9, Value: 7
y: 2, x: 9, Value: 0
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 3, Value: 7
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 8
y: 2, x: 8, Value: 3
y: 2, x: 8, Value: 0
y: 2, x: 7, Value: 0
y: 2, x: 3, Value: 0
y: 2, x: 2, Value: 0
y: 2, x: 2, Value: 7
y: 2, x: 3, Value: 2
y: 2, x: 7, Value: 3
y: 2, x: 7, Value: 0
y: 2, x: 7, Value: 8
